id	salary_mean_net
45165602	34255.28169912661
47291202	34255.28169912661
44208002	34255.28169912661
43765603	61619.68483800154
49313000	46003.74695283019
44861400	53946.350953757224
43142400	78958.84415233957
43129803	51428.1993148675
41491802	51768.87560796796
46426202	40013.92168712322
41226003	17880.836205882348
44626601	40013.92168712322
41389603	26062.29988363075
45536000	78958.84415233957
45276203	52585.24940880853
45550202	51768.87560796796
49019200	63318.960217391315
45333000	38792.75270491803
44779801	40013.92168712322
45756000	61619.68483800154
48212600	34255.28169912661
45652003	34255.28169912661
43755200	42816.62261016614
44832003	40013.92168712322
41893400	75565.39409902596
41147203	78958.84415233957
47818602	51428.1993148675
42681802	71334.72646966788
48011200	54543.02835015772
49465600	33961.63636363636
47865001	34255.28169912661
46142801	34255.28169912661
46845602	40013.92168712322
47404201	43500.0
48693802	34255.28169912661
43942402	40013.92168712322
41512202	51768.87560796796
43981801	34255.28169912661
41340600	17880.836205882348
44698203	78958.84415233957
43033403	51428.1993148675
45241400	40013.92168712322
45201800	78958.84415233957
49188801	51768.87560796796
47498000	61619.68483800154
48096601	34255.28169912661
45207202	40013.92168712322
45600802	34255.28169912661
45682803	34255.28169912661
41250602	26062.29988363075
47648801	40013.92168712322
48884601	34255.28169912661
44735002	40013.92168712322
49629601	53946.350953757224
44319400	75565.39409902596
44679601	42816.62261016614
48287400	40013.92168712322
43538403	51768.87560796796
49859801	72500.0
43228803	74354.91530612245
45142203	34255.28169912661
45408001	51428.1993148675
43903603	34255.28169912661
41306000	13396.93666666667
48286201	52585.24940880853
47731402	54543.02835015772
43148002	67038.35827842014
49423201	61619.68483800154
46962400	34255.28169912661
41791002	46003.74695283019
44375800	40013.92168712322
47561800	52585.24940880853
41620400	40013.92168712322
44328003	61619.68483800154
44355400	46003.74695283019
43616600	38792.75270491803
42992603	51428.1993148675
43193800	61619.68483800154
47443601	34255.28169912661
41167403	102277.77777777778
44060801	34255.28169912661
44027002	42816.62261016614
44285001	21238.045857142857
42652403	51428.1993148675
40974403	54543.02835015772
43642202	40013.92168712322
45444000	34255.28169912661
44481001	75565.39409902596
45494200	67053.77380952382
41624603	34255.28169912661
41331003	74354.91530612245
46547602	67947.12583959373
46489401	46003.74695283019
48265600	40013.92168712322
42316403	54543.02835015772
49883402	34255.28169912661
48007200	53946.350953757224
45496202	40013.92168712322
45340802	34255.28169912661
49287400	34255.28169912661
45178002	40013.92168712322
46447402	34255.28169912661
47509002	34255.28169912661
41003203	34255.28169912661
40807402	52585.24940880853
41041003	42816.62261016614
49651000	40013.92168712322
48652200	34255.28169912661
46376200	40013.92168712322
43343203	25960.469631590586
48922800	34255.28169912661
40960400	52585.24940880853
47067400	63318.960217391315
43079000	52585.24940880853
45941000	40013.92168712322
49620601	34255.28169912661
49484801	51343.68318569676
43800003	52585.24940880853
45638201	40013.92168712322
45817400	51428.1993148675
46393200	75565.39409902596
45666602	34255.28169912661
49592802	42816.62261016614
47889400	34255.28169912661
43751000	40013.92168712322
49501401	51428.1993148675
41466800	40013.92168712322
43899003	180000.0
48121601	51343.68318569676
44004403	40013.92168712322
41622802	103067.75147928995
43484003	58157.770487176305
47923000	40013.92168712322
42812802	130500.0
43298000	40013.92168712322
44448800	51428.1993148675
42104200	40013.92168712322
44639203	34255.28169912661
41870400	66158.1848339215
43372603	40013.92168712322
45858602	110000.0
42331603	34255.28169912661
49876800	40013.92168712322
43162802	61619.68483800154
41278803	38444.52666666667
43015002	34255.28169912661
43530200	40293.82617346939
45312601	59608.641975308645
43334803	40013.92168712322
45302802	58157.770487176305
49304400	40013.92168712322
48495800	34255.28169912661
41746802	61619.68483800154
47353602	40013.92168712322
41322602	26062.29988363075
43515402	34255.28169912661
47763800	42816.62261016614
48051000	34255.28169912661
41666603	17835.0
48709002	34255.28169912661
44756403	67038.35827842014
45859601	34255.28169912661
45887201	40013.92168712322
42792403	34255.28169912661
46621000	34255.28169912661
44892003	34255.28169912661
44029202	84333.37327610873
41497000	51768.87560796796
46352602	61619.68483800154
44749401	34255.28169912661
45773201	58157.770487176305
44831000	40013.92168712322
46983800	42816.62261016614
48975402	42816.62261016614
46468601	51768.87560796796
41454800	25960.469631590586
47490402	61619.68483800154
48518800	40013.92168712322
43180002	61619.68483800154
49589400	75565.39409902596
42994203	115803.28881340232
49934202	34255.28169912661
43252600	52585.24940880853
46630202	42816.62261016614
46325402	51768.87560796796
48476800	51768.87560796796
44257002	34255.28169912661
49935800	68108.6046511628
44497003	42816.62261016614
41392003	59608.641975308645
48889800	51428.1993148675
44992600	58157.770487176305
42619603	50381.75963015647
41797202	87162.24741830064
48553800	51768.87560796796
45844401	52585.24940880853
47860002	34255.28169912661
49452600	34255.28169912661
49070802	51768.87560796796
47325200	50237.13455459123
48396402	34255.28169912661
48701601	103067.75147928995
48431000	34255.28169912661
48693801	63318.960217391315
43734803	55000.0
43039403	34255.28169912661
46552801	80000.0
41577200	40774.70870689654
47326202	52585.24940880853
49858402	34255.28169912661
49989001	51428.1993148675
45850403	34255.28169912661
48096201	90000.0
46014402	40013.92168712322
42976003	51768.87560796796
48470201	46003.74695283019
46130602	34255.28169912661
47011201	52585.24940880853
47782201	78958.84415233957
43080403	77500.0
45437602	40013.92168712322
43730802	47500.0
44787002	34255.28169912661
45323602	53946.350953757224
41829203	52585.24940880853
48939802	52585.24940880853
42443802	84333.37327610873
46557602	51768.87560796796
49291401	42816.62261016614
41698402	34255.28169912661
46901600	34255.28169912661
40951603	51768.87560796796
44359402	60021.17647058824
45674201	40013.92168712322
44939603	61619.68483800154
41990802	53946.350953757224
46690602	64906.90567220545
48589800	40013.92168712322
44787603	64906.90567220545
47540001	51428.1993148675
41190402	84333.37327610873
41470202	51428.1993148675
40956600	51428.1993148675
47963000	34255.28169912661
46280200	34255.28169912661
42183403	192500.0
42382002	61619.68483800154
47310802	40013.92168712322
41126003	34255.28169912661
42722002	34255.28169912661
44241400	62426.857142857145
46332402	61619.68483800154
42196000	34255.28169912661
43151200	34255.28169912661
45474201	51768.87560796796
49677802	40013.92168712322
48301000	52585.24940880853
41358800	17880.836205882348
45840603	40013.92168712322
49566602	34255.28169912661
42588600	46918.39912663756
41520000	34255.28169912661
43200403	75355.53846153847
42743803	34255.28169912661
44140002	40013.92168712322
44821602	61619.68483800154
44136203	96569.4375
45197000	61619.68483800154
43274003	34255.28169912661
48873600	34255.28169912661
48280602	87162.24741830064
45466400	52585.24940880853
45700002	34255.28169912661
47674400	175000.0
47267201	34255.28169912661
41082602	40013.92168712322
41469600	40013.92168712322
43820200	61619.68483800154
47435400	58157.770487176305
45579200	62647.05882352941
45486000	50381.75963015647
42975802	51343.68318569676
41739202	46003.74695283019
41179603	51428.1993148675
46780202	52585.24940880853
44458600	34255.28169912661
46391802	84333.37327610873
45659402	44642.857142857145
45827400	34255.28169912661
49363401	185000.0
47263401	46003.74695283019
48475201	40013.92168712322
41119803	40013.92168712322
47497801	34255.28169912661
49791802	46918.39912663756
47266402	34255.28169912661
44387803	40013.92168712322
41594002	75565.39409902596
43456003	51428.1993148675
44004401	75565.39409902596
49828002	25960.469631590586
44587802	61619.68483800154
44602000	54543.02835015772
44486601	34255.28169912661
46062000	46003.74695283019
47111601	40013.92168712322
49897601	95675.0
48730600	40013.92168712322
44099601	34255.28169912661
46809402	51768.87560796796
45989402	40013.92168712322
48360000	34255.28169912661
44512200	34255.28169912661
48347801	44642.857142857145
41881003	51428.1993148675
47961002	51768.87560796796
47958402	34255.28169912661
49698002	40013.92168712322
43388403	54543.02835015772
44103201	51428.1993148675
46723402	51343.68318569676
42355600	52585.24940880853
45421601	34255.28169912661
48641202	34255.28169912661
42177402	51768.87560796796
48089001	103067.75147928995
47807600	23422.934695817494
49616600	34255.28169912661
44525202	52585.24940880853
42133203	68277.77777777778
45624401	115178.57142857143
49174202	51768.87560796796
48712800	77500.0
45068602	40013.92168712322
47027602	51428.1993148675
44370800	23422.934695817494
49696001	40013.92168712322
44846600	61619.68483800154
45506602	64906.90567220545
43468402	40293.82617346939
47974802	34255.28169912661
41643402	58157.770487176305
44519201	25960.469631590586
49162802	78958.84415233957
42657800	40013.92168712322
49214000	51768.87560796796
45709800	53946.350953757224
45685001	50381.75963015647
42620600	40013.92168712322
44634202	61619.68483800154
48233201	61619.68483800154
45682201	40013.92168712322
42826402	51428.1993148675
49698200	40013.92168712322
45927801	51768.87560796796
46435801	51343.68318569676
43330400	41249.44325892858
49805000	34255.28169912661
43382803	51428.1993148675
49103602	52585.24940880853
41714603	61619.68483800154
46851602	40013.92168712322
45865402	34255.28169912661
44524000	34255.28169912661
48463002	34255.28169912661
45934202	51428.1993148675
46766002	34255.28169912661
47982200	103025.4854368932
48962601	51768.87560796796
45588401	34255.28169912661
45216000	88923.3037043278
45208800	61619.68483800154
43557000	40013.92168712322
41965400	40013.92168712322
47817800	29445.356625000004
44784803	46918.39912663756
44472401	40013.92168712322
45555801	40013.92168712322
46241601	25960.469631590586
42847802	42816.62261016614
46815800	40013.92168712322
49947601	51768.87560796796
49583201	51428.1993148675
44420803	40013.92168712322
42627203	34255.28169912661
44336603	61619.68483800154
41709202	15795.453805970154
40815803	51428.1993148675
48779801	40013.92168712322
43805003	40013.92168712322
40984600	78958.84415233957
47996401	34255.28169912661
49865802	34255.28169912661
41422003	34255.28169912661
48558602	34255.28169912661
44613002	34255.28169912661
46409000	74354.91530612245
45973602	34255.28169912661
44638602	54543.02835015772
42770803	95000.0
44236800	40013.92168712322
43669200	40013.92168712322
42585002	40013.92168712322
42646003	34255.28169912661
49886601	34255.28169912661
44524403	34255.28169912661
45352403	40013.92168712322
48183400	40013.92168712322
48684801	73000.0
44330803	51768.87560796796
47252402	25960.469631590586
43429403	40013.92168712322
49867002	54543.02835015772
42394002	42816.62261016614
42649800	75565.39409902596
43543403	52585.24940880853
47600801	40013.92168712322
45746603	52585.24940880853
46928401	42000.0
49579202	52585.24940880853
49736602	40013.92168712322
49793001	34255.28169912661
43602403	40013.92168712322
41453803	40013.92168712322
46795600	46003.74695283019
47826002	34255.28169912661
45376601	34255.28169912661
41608200	52585.24940880853
46750002	34255.28169912661
48593600	57547.8431372549
49745200	34255.28169912661
43858401	40013.92168712322
45173201	52585.24940880853
42893202	34255.28169912661
46814601	42816.62261016614
47946201	78958.84415233957
45811202	54543.02835015772
43227402	51768.87560796796
44000003	54543.02835015772
43188600	40013.92168712322
45108401	51768.87560796796
42900200	40013.92168712322
